id,name,artist,valence,energy,danceability,tempo,genres,duration (ms),explicit,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,mood
7o6wClSMN2SMYN20a4lHwp,Complicated,Valentin,0.318,0.516,0.55,78.086,[],196923,False,5,-6.83,1,0.0337,0.443,0.0,0.0833,Sad
4L7jMAP8UcIe309yQmkdcO,Lost,Frank Ocean,0.497,0.603,0.913,123.061,"['lgbtq+ hip hop', 'neo soul']",234093,True,8,-4.892,1,0.226,0.0272,0.000503,0.167,Sad
0r3sjyiC4jE179QJHG9geQ,paper,kenzie,0.192,0.335,0.603,78.988,['social media pop'],167676,True,1,-9.694,1,0.0731,0.7,4.58e-05,0.0987,Sad
4WZCa8TEYyUrGMbQ2dDv5r,SATAN,Liush,0.333,0.124,0.675,107.337,[],196341,False,8,-17.768,1,0.0398,0.971,0.209,0.114,Sad
1ockRdKkYBfNfxf0EC0PjX,whatif,kikomori,0.409,0.551,0.653,156.027,[],208929,True,11,-10.599,1,0.303,0.099,6.04e-05,0.204,Sad
3hUxzQpSfdDqwM3ZTFQY0K,august,Taylor Swift,0.403,0.623,0.532,89.937,['pop'],261923,False,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,Sad
18ddJHQ7CUzNBiy55L0Xjj,WFM,RealestK,0.247,0.184,0.437,80.088,[],136000,False,1,-17.667,1,0.0313,0.72,0.00253,0.113,Sad
79rgaQokWJVaXzpKTXgJob,Everybody's Changing,Valentin,0.206,0.268,0.63,93.956,[],205053,False,0,-11.82,1,0.0255,0.828,3.31e-05,0.085,Sad
4EDijkJdHBZZ0GwJ12iTAj,Stargirl Interlude,The Weeknd,0.441,0.474,0.638,179.771,"['canadian contemporary r&b', 'canadian pop', 'pop']",111640,False,5,-12.7,0,0.124,0.351,0.191,0.105,Sad
1DOgkaR5Gqa8JtPEIbQORC,Over,Lucky Daye,0.379,0.541,0.677,103.369,"['alternative r&b', 'r&b']",205276,True,6,-6.057,0,0.0571,0.48,0.0,0.125,Sad
4FWG7vVA7doXmp6qRTgiq1,BOREDOM,Munboi,0.269,0.362,0.686,82.018,[],189107,False,5,-11.342,0,0.0756,0.0974,0.32,0.125,Sad
6S7o12almFeL57rbRvdY5l,Vas,jagger finn,0.416,0.424,0.514,71.114,['bedroom pop'],90324,False,0,-10.645,1,0.0282,0.918,0.849,0.126,Sad
0DGTcMqvVR7fmBXgiG6jz4,Just A Cloud Away,Pharrell Williams,0.677,0.46,0.89,112.555,"['dance pop', 'pop']",176078,False,2,-8.155,1,0.0359,0.432,0.0,0.11,Sad
0a9w6rQAPMfCtnCExpCE2a,was it easy getting over me?,Gloria Kim,0.0636,0.343,0.391,123.27,[],196850,False,3,-7.984,0,0.0363,0.314,0.0,0.103,Sad
